VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
2,2009-01-01 01:55:34,2009-01-01 01:55:46,N,1.0,264,264,1.0,0.0,1.0,0.0,0.5,0.0,0.0,,0.3,1.8,2.0,1.0,
2,2009-01-01 16:13:29,2009-01-01 17:27:39,N,1.0,244,258,1.0,19.61,61.0,1.0,0.5,0.0,5.76,,0.3,68.56,1.0,1.0,
2,2010-09-23 01:02:05,2010-09-23 14:59:32,N,1.0,72,150,1.0,7.97,26.5,0.0,0.5,0.0,0.0,,0.3,27.3,1.0,1.0,
2,2008-12-31 23:46:27,2008-12-31 23:57:20,N,1.0,223,7,1.0,1.75,9.0,1.0,0.5,2.16,0.0,,0.3,12.96,1.0,1.0,
2,2009-01-01 00:22:21,2009-01-01 00:39:57,N,1.0,7,70,1.0,3.07,13.5,1.0,0.5,0.0,0.0,,0.3,15.3,2.0,1.0,
2,2018-06-27 18:44:16,2018-06-27 18:52:03,N,1.0,75,42,1.0,1.27,7.5,0.0,0.5,0.0,0.0,,0.3,8.3,2.0,1.0,
2,2018-06-27 19:11:35,2018-06-27 19:16:57,N,1.0,41,166,1.0,0.67,5.5,0.0,0.5,1.26,0.0,,0.3,7.56,1.0,1.0,
2,2018-07-19 02:19:27,2018-07-19 02:23:32,N,1.0,166,166,1.0,0.58,4.5,0.0,0.5,0.0,0.0,,0.3,5.3,2.0,1.0,
2,2018-07-19 02:59:33,2018-07-19 03:09:58,N,1.0,74,42,1.0,1.92,9.0,0.0,0.5,0.0,0.0,,0.3,9.8,1.0,1.0,
2,2010-09-23 01:02:07,2010-09-23 13:24:45,N,1.0,254,254,1.0,0.77,5.0,0.0,0.5,0.0,0.0,,0.3,5.8,1.0,1.0,
2,2018-06-29 18:49:10,2018-06-29 19:26:58,N,1.0,42,163,1.0,4.24,23.5,0.0,0.5,3.0,0.0,,0.3,27.3,1.0,1.0,
2,2010-09-23 00:01:25,2010-09-23 05:33:51,N,1.0,179,145,1.0,1.72,7.5,0.5,0.5,0.0,0.0,,0.3,8.8,2.0,1.0,
2,2010-09-23 01:01:44,2010-09-23 10:48:33,N,1.0,169,159,1.0,3.08,13.0,0.0,0.5,0.0,0.0,,0.3,13.8,2.0,1.0,
2,2018-06-30 20:59:21,2018-06-30 21:14:33,N,1.0,74,141,1.0,2.67,12.0,0.0,0.5,0.0,0.0,,0.3,12.8,2.0,1.0,
